x,y,RSSIA,RSSIB,RSSIC,RP
3.88,3.17,57,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,56,54,52,C4
3.88,3.17,56,54,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,59,56,52,C4
3.88,3.17,59,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,55,52,C4
3.88,3.17,57,55,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,57,53,52,C4
3.88,3.17,57,53,52,C4
3.88,3.17,59,57,52,C4
3.88,3.17,59,57,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,58,58,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,56,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,59,54,52,C4
3.88,3.17,59,54,52,C4
3.88,3.17,56,59,52,C4
3.88,3.17,56,59,52,C4
3.88,3.17,57,57,52,C4
3.88,3.17,57,57,52,C4
3.88,3.17,58,54,52,C4
3.88,3.17,58,54,52,C4
3.88,3.17,58,54,52,C4
3.88,3.17,58,54,52,C4
3.88,3.17,59,54,52,C4
3.88,3.17,59,54,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,57,53,52,C4
3.88,3.17,57,53,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,57,58,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,56,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,57,57,52,C4
3.88,3.17,57,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,58,56,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,56,57,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,57,54,52,C4
3.88,3.17,58,57,52,C4
3.88,3.17,58,57,52,C4
3.88,1.9,45,47,57,C3
3.88,1.9,45,47,57,C3
3.88,1.9,46,47,56,C3
3.88,1.9,46,47,56,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,48,45,56,C3
3.88,1.9,48,45,56,C3
3.88,1.9,46,52,58,C3
3.88,1.9,46,52,58,C3
3.88,1.9,44,47,57,C3
3.88,1.9,44,47,57,C3
3.88,1.9,48,46,57,C3
3.88,1.9,48,46,57,C3
3.88,1.9,46,46,50,C3
3.88,1.9,46,46,50,C3
3.88,1.9,43,45,54,C3
3.88,1.9,43,45,54,C3
3.88,1.9,46,46,58,C3
3.88,1.9,46,46,58,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,45,45,51,C3
3.88,1.9,45,45,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,48,47,51,C3
3.88,1.9,48,47,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,46,46,51,C3
3.88,1.9,47,46,51,C3
3.88,1.9,47,46,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,46,50,51,C3
3.88,1.9,46,50,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,45,51,C3
3.88,1.9,45,45,51,C3
3.88,1.9,47,46,51,C3
3.88,1.9,47,46,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,46,48,51,C3
3.88,1.9,46,48,51,C3
3.88,1.9,48,48,51,C3
3.88,1.9,48,48,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,44,48,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,49,51,C3
3.88,1.9,45,49,51,C3
3.88,1.9,42,46,51,C3
3.88,1.9,42,46,51,C3
3.88,1.9,47,48,51,C3
3.88,1.9,47,48,51,C3
3.88,1.9,43,46,51,C3
3.88,1.9,43,46,51,C3
3.88,1.9,44,47,51,C3
3.88,1.9,44,47,51,C3
3.88,1.9,44,47,51,C3
3.88,1.9,44,47,51,C3
3.88,1.9,45,48,51,C3
3.88,1.9,45,48,51,C3
3.88,1.9,43,46,51,C3
3.88,1.9,43,46,51,C3
3.88,1.9,43,45,51,C3
3.88,1.9,43,45,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,44,46,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,47,51,C3
3.88,1.9,45,48,51,C3
3.88,1.9,45,48,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,45,46,51,C3
3.88,1.9,43,45,51,C3
3.88,1.9,43,45,51,C3
2.77,1.9,49,56,67,B4
2.77,1.9,49,56,67,B4
2.77,1.9,51,48,55,B4
2.77,1.9,51,48,55,B4
2.77,1.9,49,46,60,B4
2.77,1.9,49,46,60,B4
2.77,1.9,55,52,56,B4
2.77,1.9,55,52,56,B4
2.77,1.9,51,57,51,B4
2.77,1.9,51,57,51,B4
2.77,1.9,54,57,56,B4
2.77,1.9,54,57,56,B4
2.77,1.9,51,54,48,B4
2.77,1.9,51,54,48,B4
2.77,1.9,53,55,58,B4
2.77,1.9,53,55,58,B4
2.77,1.9,52,56,55,B4
2.77,1.9,52,56,55,B4
2.77,1.9,53,56,63,B4
2.77,1.9,53,56,63,B4
2.77,1.9,51,55,59,B4
2.77,1.9,51,55,59,B4
2.77,1.9,51,56,54,B4
2.77,1.9,51,56,54,B4
2.77,1.9,49,56,57,B4
