x,y,RSSI A,RSSI B,RSSI C,RP
-0.61,3.42,36,53,31,A4
0.65,0.78,37,37,38,B1
-0.61,3.42,26,36,57,A4
-0.61,1.63,24,37,48,A2
-0.61,1.63,40,37,56,A2
0.65,2.56,31,42,49,B3
-0.61,3.42,23,38,42,A4
-0.61,1.63,28,35,40,A2
-0.61,0.78,34,32,44,A1
1.97,3.42,46,35,57,C4
1.97,0.78,36,33,48,C1
-0.61,3.42,29,38,58,A4
3.27,2.56,41,45,44,D3
0.65,3.42,24,38,39,B4
3.27,0.78,30,37,49,D1
0.65,2.56,47,35,40,B3
-0.61,2.56,39,35,40,A3
-0.61,2.56,45,37,54,A3
1.97,3.42,32,56,33,C4
-0.61,3.42,43,41,42,A4
-0.61,2.56,29,39,41,A3
3.27,2.56,35,40,48,D3
-0.61,0.78,31,34,57,A1
-0.61,3.42,50,32,48,A4
1.97,2.56,46,44,52,C3
1.97,3.42,49,36,50,C4
3.27,2.56,39,64,49,D3
1.97,0.78,36,35,47,C1
3.27,1.63,28,31,49,D2
0.65,2.56,42,33,53,B3
-0.61,0.78,31,43,52,A1
3.27,1.63,44,32,49,D2
-0.61,2.56,43,37,54,A3
0.65,3.42,37,34,52,B4
-0.61,0.78,34,33,41,A1
-0.61,3.42,30,35,50,A4
0.65,0.78,35,34,50,B1
3.27,0.78,34,33,53,D1
0.65,1.63,35,31,38,B2
3.27,1.63,25,32,53,D2
0.65,1.63,34,32,49,B2
-0.61,0.78,28,45,36,A1
3.27,2.56,39,36,39,D3
0.65,1.63,47,43,56,B2
0.65,2.56,39,43,41,B3
0.65,0.78,30,49,56,B1
-0.61,1.63,24,38,55,A2
0.65,0.78,40,47,44,B1
3.27,3.42,32,39,43,D4
3.27,2.56,29,36,55,D3
1.97,1.63,47,35,42,C2
0.65,2.56,34,43,27,B3
3.27,0.78,40,37,48,D1
1.97,3.42,29,36,44,C4
3.27,2.56,29,36,51,D3
3.27,3.42,28,46,35,D4
0.65,3.42,30,45,42,B4
3.27,0.78,42,38,51,D1
1.97,0.78,27,38,59,C1
1.97,1.63,34,35,30,C2
0.65,1.63,44,41,52,B2
3.27,2.56,29,40,53,D3
3.27,1.63,47,33,52,D2
-0.61,1.63,27,43,60,A2
1.97,0.78,40,42,34,C1
3.27,1.63,45,44,37,D2
-0.61,0.78,40,37,41,A1
1.97,0.78,45,33,48,C1
1.97,0.78,34,40,45,C1
0.65,1.63,39,37,45,B2
1.97,1.63,30,42,51,C2
0.65,1.63,33,32,57,B2
-0.61,0.78,38,36,29,A1
0.65,2.56,43,43,46,B3
3.27,0.78,30,36,42,D1
-0.61,2.56,35,43,26,A3
0.65,0.78,31,42,58,B1
3.27,2.56,49,56,39,D3
3.27,3.42,41,39,57,D4
1.97,3.42,50,32,56,C4
3.27,1.63,44,36,57,D2
3.27,1.63,39,39,45,D2
1.97,2.56,34,45,51,C3
0.65,2.56,47,46,37,B3
1.97,1.63,29,35,54,C2
0.65,3.42,43,31,49,B4
1.97,3.42,31,32,58,C4
0.65,2.56,33,49,38,B3
3.27,0.78,29,32,54,D1
-0.61,1.63,27,34,58,A2
3.27,0.78,42,53,44,D1
-0.61,0.78,42,57,26,A1
1.97,1.63,26,32,51,C2
1.97,0.78,30,32,44,C1
0.65,2.56,31,31,49,B3
1.97,2.56,46,35,44,C3
3.27,1.63,40,37,37,D2
1.97,0.78,39,39,40,C1
-0.61,0.78,47,48,50,A1
1.97,2.56,46,33,55,C3
0.65,0.78,24,33,55,B1
1.97,0.78,28,38,52,C1
3.27,2.56,36,32,57,D3
-0.61,0.78,26,34,45,A1
0.65,0.78,35,47,43,B1
0.65,2.56,44,33,58,B3
3.27,0.78,26,37,46,D1
0.65,0.78,32,32,44,B1
1.97,0.78,33,42,51,C1
-0.61,2.56,51,32,50,A3
1.97,1.63,32,30,52,C2
-0.61,3.42,29,42,47,A4
-0.61,1.63,48,57,58,A2
3.27,0.78,41,32,58,D1
1.97,0.78,42,32,46,C1
1.97,0.78,42,34,51,C1
3.27,3.42,27,38,59,D4
-0.61,1.63,32,49,42,A2
3.27,2.56,50,44,49,D3
-0.61,0.78,36,31,56,A1
0.65,2.56,27,44,54,B3
1.97,3.42,37,39,28,C4
0.65,2.56,25,47,28,B3
-0.61,1.63,38,33,30,A2
-0.61,0.78,37,38,35,A1
3.27,0.78,36,32,34,D1
3.27,3.42,48,39,59,D4
3.27,2.56,33,32,54,D3
1.97,3.42,46,37,53,C4
1.97,0.78,49,37,58,C1
0.65,0.78,28,41,44,B1
0.65,0.78,49,37,50,B1
3.27,2.56,29,61,41,D3
1.97,0.78,31,37,46,C1
0.65,1.63,30,43,59,B2
0.65,1.63,26,33,51,B2
0.65,3.42,31,45,39,B4
3.27,0.78,37,34,55,D1
-0.61,2.56,46,33,54,A3
-0.61,0.78,47,36,46,A1
3.27,2.56,29,36,50,D3
1.97,0.78,32,36,46,C1
0.65,2.56,34,48,57,B3
-0.61,1.63,51,52,43,A2
3.27,0.78,42,40,32,D1
1.97,0.78,45,31,59,C1
0.65,1.63,30,43,38,B2
0.65,2.56,26,35,56,B3
0.65,3.42,48,35,24,B4
3.27,1.63,36,32,31,D2
0.65,0.78,30,39,43,B1
3.27,3.42,22,33,57,D4
3.27,0.78,30,35,47,D1
3.27,0.78,46,40,44,D1
1.97,0.78,34,44,52,C1
3.27,0.78,37,33,51,D1
3.27,1.63,24,37,57,D2
-0.61,2.56,45,48,42,A3
-0.61,2.56,43,33,55,A3
3.27,3.42,38,31,47,D4
1.97,0.78,22,38,51,C1
-0.61,3.42,39,30,48,A4
1.97,0.78,43,35,51,C1
-0.61,0.78,28,37,55,A1
-0.61,0.78,34,39,48,A1
-0.61,2.56,41,40,50,A3
-0.61,0.78,40,30,53,A1
-0.61,3.42,32,33,59,A4
-0.61,1.63,24,41,37,A2
0.65,0.78,47,38,38,B1
1.97,2.56,30,32,41,C3
1.97,1.63,37,33,47,C2
1.97,1.63,53,31,40,C2
3.27,0.78,37,39,47,D1
3.27,1.63,28,51,40,D2
-0.61,1.63,39,43,48,A2
0.65,0.78,38,33,40,B1
-0.61,3.42,25,41,46,A4
3.27,2.56,47,32,32,D3
-0.61,3.42,39,32,34,A4
3.27,3.42,40,31,54,D4
-0.61,2.56,39,40,53,A3
1.97,2.56,40,31,49,C3
0.65,2.56,28,32,58,B3
-0.61,2.56,36,38,42,A3
1.97,1.63,42,34,32,C2
3.27,1.63,33,43,54,D2
1.97,2.56,38,33,50,C3
1.97,2.56,36,34,38,C3
1.97,3.42,39,33,49,C4
3.27,3.42,35,37,49,D4
-0.61,0.78,33,35,49,A1
-0.61,1.63,33,57,45,A2
3.27,0.78,27,41,51,D1
0.65,3.42,32,34,50,B4
1.97,3.42,26,45,55,C4
-0.61,0.78,48,31,47,A1
0.65,3.42,34,41,35,B4
3.27,1.63,40,32,50,D2
1.97,1.63,46,31,40,C2
1.97,0.78,33,39,57,C1
-0.61,2.56,41,36,52,A3
0.65,3.42,38,36,57,B4
0.65,3.42,31,32,48,B4
3.27,0.78,45,33,59,D1
1.97,0.78,40,35,45,C1
0.65,0.78,36,35,59,B1
1.97,2.56,31,42,32,C3
1.97,3.42,46,38,31,C4
-0.61,1.63,39,32,47,A2
-0.61,2.56,27,45,42,A3
-0.61,1.63,36,38,60,A2
3.27,1.63,31,44,40,D2
-0.61,1.63,42,31,45,A2
3.27,2.56,47,33,56,D3
0.65,0.78,38,48,57,B1
0.65,2.56,34,47,51,B3
0.65,2.56,25,32,51,B3
1.97,1.63,35,34,50,C2
0.65,1.63,40,36,51,B2
0.65,2.56,33,36,37,B3
1.97,3.42,35,33,55,C4
-0.61,3.42,25,43,57,A4
3.27,0.78,39,39,55,D1
3.27,2.56,33,39,49,D3
1.97,0.78,33,37,52,C1
-0.61,3.42,43,44,56,A4
-0.61,2.56,44,30,32,A3
-0.61,3.42,36,37,45,A4
3.27,1.63,30,31,51,D2
3.27,2.56,26,37,57,D3
3.27,0.78,25,33,26,D1
3.27,0.78,41,36,48,D1
3.27,1.63,37,45,38,D2
1.97,1.63,28,51,43,C2
1.97,3.42,34,37,40,C4
3.27,1.63,43,34,48,D2
-0.61,0.78,33,36,36,A1
0.65,2.56,33,35,53,B3
1.97,0.78,25,36,28,C1
0.65,3.42,35,40,46,B4
-0.61,1.63,37,36,58,A2
1.97,2.56,32,37,42,C3
-0.61,0.78,34,34,46,A1
3.27,1.63,30,34,38,D2
1.97,3.42,25,40,34,C4
3.27,0.78,33,41,35,D1
1.97,1.63,28,30,55,C2
1.97,2.56,34,43,40,C3
3.27,3.42,43,40,40,D4
3.27,2.56,45,35,38,D3
1.97,2.56,29,31,57,C3
0.65,0.78,30,31,43,B1
-0.61,2.56,44,34,54,A3
-0.61,2.56,43,39,23,A3
-0.61,0.78,31,32,55,A1
3.27,2.56,29,42,55,D3
3.27,2.56,32,37,53,D3
-0.61,3.42,48,43,53,A4
-0.61,1.63,24,37,55,A2
1.97,3.42,34,36,33,C4
1.97,1.63,29,35,32,C2
3.27,2.56,35,42,58,D3
0.65,2.56,37,32,52,B3
1.97,1.63,44,43,41,C2
-0.61,0.78,41,38,56,A1
-0.61,3.42,28,37,57,A4
-0.61,1.63,38,34,58,A2
3.27,2.56,35,30,32,D3
1.97,3.42,42,44,46,C4
3.27,3.42,39,42,52,D4
-0.61,3.42,39,47,56,A4
0.65,1.63,38,35,57,B2
-0.61,1.63,42,36,51,A2
0.65,0.78,29,38,54,B1
1.97,3.42,42,27,58,C4
1.97,2.56,55,35,52,C3
0.65,1.63,44,34,49,B2
0.65,3.42,43,31,55,B4
3.27,0.78,43,37,47,D1
1.97,3.42,25,33,57,C4
0.65,2.56,31,35,50,B3
3.27,1.63,36,42,53,D2
1.97,2.56,34,33,47,C3
3.27,0.78,30,39,58,D1
-0.61,3.42,35,33,27,A4
3.27,0.78,30,38,41,D1
1.97,1.63,34,41,45,C2
1.97,1.63,47,46,30,C2
-0.61,1.63,38,31,54,A2
3.27,1.63,53,32,51,D2
1.97,1.63,32,30,57,C2
3.27,2.56,42,37,58,D3
3.27,2.56,32,48,44,D3
1.97,2.56,30,35,53,C3
0.65,1.63,34,41,48,B2
1.97,1.63,32,32,44,C2
3.27,1.63,25,54,49,D2
-0.61,2.56,25,38,56,A3
0.65,3.42,43,35,39,B4
0.65,1.63,29,42,56,B2
1.97,1.63,44,35,39,C2
1.97,1.63,36,35,56,C2
-0.61,0.78,27,50,49,A1
3.27,2.56,26,31,31,D3
-0.61,2.56,31,42,51,A3
0.65,0.78,32,36,53,B1
1.97,2.56,51,27,56,C3
3.27,3.42,41,52,56,D4
3.27,2.56,31,36,59,D3
-0.61,0.78,27,39,53,A1
-0.61,1.63,39,33,42,A2
-0.61,1.63,30,31,55,A2
1.97,1.63,44,32,32,C2
3.27,1.63,34,32,60,D2
1.97,2.56,43,34,56,C3
-0.61,2.56,25,42,46,A3
0.65,3.42,43,31,27,B4
3.27,0.78,26,32,56,D1
-0.61,1.63,36,33,58,A2
0.65,0.78,37,34,47,B1
0.65,0.78,23,46,43,B1
-0.61,2.56,40,35,43,A3
1.97,0.78,46,46,28,C1
-0.61,0.78,37,30,37,A1
-0.61,2.56,28,38,54,A3
3.27,0.78,38,46,54,D1
-0.61,1.63,25,47,42,A2
3.27,1.63,38,34,51,D2
3.27,1.63,46,41,43,D2
3.27,0.78,31,48,60,D1
-0.61,0.78,50,34,37,A1
0.65,1.63,36,33,50,B2
0.65,1.63,40,45,47,B2
-0.61,1.63,45,33,44,A2
0.65,1.63,47,44,47,B2
1.97,3.42,38,35,57,C4
-0.61,0.78,41,38,56,A1
3.27,2.56,34,31,42,D3
-0.61,3.42,39,50,48,A4
1.97,2.56,47,32,60,C3
0.65,2.56,43,42,59,B3
3.27,3.42,29,32,40,D4
3.27,2.56,41,38,41,D3
0.65,1.63,38,37,55,B2
0.65,0.78,45,36,57,B1
1.97,3.42,55,39,60,C4
3.27,0.78,28,35,55,D1
1.97,1.63,31,39,49,C2
3.27,2.56,44,43,54,D3
-0.61,3.42,22,31,56,A4
0.65,3.42,48,31,57,B4
0.65,0.78,33,31,36,B1
1.97,2.56,47,35,42,C3
0.65,3.42,32,34,58,B4
-0.61,1.63,27,34,43,A2
-0.61,2.56,50,37,51,A3
0.65,1.63,27,31,42,B2
-0.61,3.42,46,33,56,A4
0.65,0.78,49,33,31,B1
0.65,1.63,25,33,41,B2
3.27,1.63,36,31,55,D2
1.97,3.42,24,43,56,C4
3.27,3.42,28,32,58,D4
1.97,1.63,28,31,46,C2
3.27,1.63,49,37,56,D2
0.65,1.63,29,37,38,B2
1.97,0.78,28,38,42,C1
0.65,0.78,48,34,45,B1
-0.61,2.56,34,48,45,A3
0.65,2.56,46,31,50,B3
-0.61,3.42,43,34,56,A4
0.65,0.78,33,26,51,B1
-0.61,1.63,37,31,59,A2
3.27,1.63,30,46,51,D2
-0.61,0.78,52,56,35,A1
1.97,1.63,29,36,51,C2
0.65,2.56,31,40,56,B3
3.27,2.56,33,46,50,D3
-0.61,3.42,33,36,44,A4
3.27,1.63,23,49,36,D2
1.97,3.42,37,32,56,C4
1.97,1.63,34,32,51,C2
-0.61,0.78,45,38,48,A1
0.65,2.56,29,39,36,B3
-0.61,3.42,34,42,47,A4
-0.61,0.78,36,32,28,A1
1.97,3.42,36,40,49,C4
-0.61,3.42,27,37,54,A4
3.27,0.78,23,50,44,D1
-0.61,0.78,47,36,41,A1
-0.61,2.56,43,31,49,A3
1.97,1.63,34,31,24,C2
-0.61,2.56,36,40,29,A3
0.65,3.42,32,46,56,B4
3.27,1.63,26,38,24,D2
3.27,2.56,38,52,54,D3
-0.61,1.63,51,32,50,A2
3.27,1.63,46,38,44,D2
3.27,3.42,31,39,57,D4
0.65,3.42,42,37,57,B4
3.27,2.56,43,42,56,D3
1.97,0.78,40,33,50,C1
0.65,3.42,34,32,45,B4
3.27,3.42,34,41,54,D4
1.97,3.42,42,34,43,C4
1.97,0.78,32,45,50,C1
1.97,0.78,44,31,46,C1
-0.61,3.42,31,33,45,A4
0.65,1.63,26,41,55,B2
3.27,0.78,35,41,44,D1
1.97,2.56,40,35,57,C3
0.65,3.42,38,39,47,B4
1.97,1.63,24,51,55,C2
0.65,0.78,43,37,36,B1
0.65,3.42,40,47,52,B4
0.65,0.78,33,41,52,B1
3.27,0.78,27,33,44,D1
-0.61,1.63,49,34,34,A2
0.65,3.42,39,35,55,B4
1.97,0.78,37,40,44,C1
0.65,3.42,27,31,54,B4
0.65,3.42,32,36,42,B4
3.27,1.63,26,38,48,D2
-0.61,0.78,41,38,44,A1
1.97,2.56,21,35,49,C3
1.97,3.42,33,35,57,C4
0.65,0.78,30,46,52,B1
-0.61,0.78,38,37,27,A1
-0.61,2.56,34,45,33,A3
1.97,1.63,40,32,35,C2
3.27,1.63,41,34,53,D2
3.27,2.56,29,49,45,D3
3.27,2.56,47,39,41,D3
-0.61,3.42,29,36,43,A4
3.27,1.63,23,42,28,D2
3.27,0.78,25,40,34,D1
0.65,3.42,36,35,55,B4
3.27,1.63,32,36,48,D2
1.97,3.42,26,44,55,C4
-0.61,1.63,41,33,51,A2
-0.61,1.63,31,33,43,A2
0.65,1.63,47,36,47,B2
-0.61,0.78,31,33,46,A1
0.65,0.78,36,33,46,B1
3.27,3.42,41,29,36,D4
0.65,1.63,32,40,57,B2
1.97,1.63,38,45,29,C2
0.65,0.78,35,40,34,B1
0.65,0.78,43,31,31,B1
1.97,2.56,37,30,46,C3
0.65,2.56,26,34,56,B3
3.27,0.78,30,47,58,D1
3.27,3.42,29,33,43,D4
1.97,0.78,33,40,40,C1
1.97,2.56,40,42,46,C3
1.97,1.63,38,41,45,C2
0.65,2.56,28,35,24,B3
-0.61,2.56,37,36,59,A3
0.65,0.78,34,36,49,B1
0.65,2.56,27,35,39,B3
3.27,3.42,31,45,36,D4
1.97,0.78,36,36,35,C1
1.97,2.56,35,47,31,C3
1.97,0.78,46,38,41,C1
0.65,2.56,29,36,38,B3
3.27,1.63,42,52,47,D2
-0.61,0.78,54,36,48,A1
1.97,2.56,40,34,57,C3
0.65,2.56,31,38,21,B3
0.65,0.78,28,35,42,B1
0.65,2.56,26,32,48,B3
0.65,1.63,36,36,38,B2
1.97,3.42,25,47,50,C4
0.65,1.63,48,38,50,B2
0.65,2.56,35,36,54,B3
1.97,2.56,29,35,49,C3
3.27,3.42,47,34,48,D4
0.65,2.56,42,32,56,B3
-0.61,0.78,40,33,35,A1
0.65,3.42,33,31,49,B4
0.65,0.78,46,36,30,B1
-0.61,0.78,35,38,41,A1
-0.61,0.78,46,44,43,A1
0.65,3.42,32,33,49,B4
3.27,1.63,36,39,50,D2
1.97,2.56,28,38,59,C3
3.27,1.63,23,36,50,D2
0.65,3.42,41,36,47,B4
1.97,3.42,31,35,53,C4
1.97,3.42,45,42,59,C4
1.97,0.78,36,26,56,C1
3.27,0.78,23,33,53,D1
3.27,1.63,50,31,54,D2
3.27,0.78,25,39,58,D1
0.65,0.78,40,31,40,B1
0.65,1.63,41,32,49,B2
0.65,2.56,29,35,58,B3
0.65,3.42,38,41,49,B4
0.65,2.56,48,32,58,B3
1.97,3.42,45,38,45,C4
3.27,0.78,38,31,54,D1
3.27,1.63,35,36,53,D2
3.27,2.56,26,35,59,D3
3.27,2.56,42,34,56,D3
-0.61,2.56,38,36,53,A3
-0.61,0.78,28,33,51,A1
3.27,0.78,30,31,37,D1
0.65,0.78,42,35,43,B1
1.97,0.78,34,31,39,C1
-0.61,2.56,36,31,23,A3
0.65,1.63,42,42,47,B2
-0.61,3.42,30,26,51,A4
3.27,0.78,34,34,48,D1
1.97,1.63,53,32,44,C2
3.27,2.56,46,32,41,D3
3.27,2.56,38,33,34,D3
-0.61,1.63,40,35,57,A2
0.65,3.42,27,33,51,B4
0.65,0.78,33,49,53,B1
1.97,1.63,28,32,45,C2
0.65,3.42,32,31,56,B4
0.65,0.78,25,34,56,B1
0.65,2.56,35,39,45,B3
-0.61,1.63,30,41,39,A2
0.65,0.78,49,41,35,B1
-0.61,3.42,25,46,43,A4
-0.61,3.42,23,47,44,A4
1.97,0.78,24,33,37,C1
-0.61,1.63,35,36,48,A2
-0.61,2.56,28,36,54,A3
1.97,1.63,30,35,40,C2
1.97,1.63,29,33,57,C2
1.97,1.63,42,41,46,C2
0.65,3.42,24,36,54,B4
3.27,3.42,36,37,45,D4
3.27,3.42,36,38,47,D4
1.97,0.78,36,30,39,C1
-0.61,0.78,51,33,59,A1
0.65,3.42,34,33,55,B4
0.65,2.56,48,39,56,B3
1.97,3.42,27,33,59,C4
-0.61,3.42,35,31,46,A4
0.65,2.56,37,46,50,B3
0.65,1.63,37,33,35,B2
3.27,1.63,36,31,50,D2
-0.61,3.42,50,36,42,A4
3.27,0.78,51,32,58,D1
-0.61,0.78,23,60,38,A1
1.97,0.78,37,31,52,C1
0.65,0.78,24,44,50,B1
1.97,3.42,41,43,48,C4
3.27,1.63,47,45,39,D2
3.27,3.42,28,26,52,D4
-0.61,1.63,27,31,57,A2
-0.61,0.78,33,36,59,A1
0.65,2.56,46,39,42,B3
3.27,1.63,45,46,54,D2
3.27,2.56,52,34,45,D3
3.27,3.42,49,35,47,D4
-0.61,2.56,25,36,55,A3
1.97,0.78,41,40,56,C1
0.65,0.78,41,34,33,B1
0.65,2.56,37,31,56,B3
-0.61,2.56,34,34,42,A3
1.97,0.78,22,39,53,C1
1.97,2.56,27,47,41,C3
-0.61,1.63,51,33,40,A2
-0.61,2.56,30,37,33,A3
0.65,0.78,39,38,55,B1
0.65,3.42,44,37,52,B4
-0.61,2.56,28,46,50,A3
3.27,2.56,50,34,60,D3
0.65,1.63,45,34,37,B2
3.27,2.56,24,43,49,D3
-0.61,1.63,35,44,47,A2
-0.61,3.42,38,39,45,A4
3.27,1.63,26,43,56,D2
0.65,0.78,43,37,47,B1
0.65,1.63,35,38,54,B2
-0.61,3.42,42,43,35,A4
3.27,0.78,36,34,54,D1
0.65,0.78,29,37,52,B1
-0.61,3.42,39,36,59,A4
0.65,0.78,26,41,47,B1
3.27,3.42,40,39,50,D4
3.27,3.42,24,35,56,D4
-0.61,2.56,38,38,59,A3
-0.61,1.63,32,30,42,A2
1.97,0.78,42,41,54,C1
3.27,1.63,29,36,52,D2
3.27,1.63,30,34,55,D2
-0.61,2.56,38,31,46,A3
0.65,1.63,33,32,57,B2
1.97,1.63,31,34,55,C2
-0.61,3.42,24,32,39,A4
-0.61,1.63,43,36,40,A2
1.97,3.42,54,36,34,C4
1.97,0.78,52,34,51,C1
-0.61,0.78,29,38,57,A1
3.27,0.78,36,33,58,D1
3.27,1.63,31,40,49,D2
3.27,0.78,35,36,56,D1
3.27,3.42,28,40,48,D4
3.27,1.63,45,44,40,D2
-0.61,2.56,44,41,46,A3
-0.61,0.78,34,39,56,A1
3.27,2.56,28,44,45,D3
3.27,2.56,32,41,40,D3
-0.61,3.42,30,40,32,A4
1.97,0.78,28,30,57,C1
-0.61,3.42,48,42,59,A4
3.27,2.56,41,47,44,D3
3.27,3.42,52,35,49,D4
1.97,2.56,32,33,34,C3
0.65,1.63,25,44,43,B2
1.97,3.42,35,32,55,C4
-0.61,3.42,42,30,48,A4
0.65,0.78,31,33,46,B1
-0.61,3.42,40,50,42,A4
-0.61,2.56,27,39,52,A3
-0.61,3.42,32,37,50,A4
1.97,1.63,46,33,54,C2
3.27,0.78,30,30,48,D1
0.65,0.78,35,32,48,B1
-0.61,0.78,28,34,21,A1
1.97,0.78,46,33,31,C1
-0.61,3.42,42,33,53,A4
-0.61,1.63,38,36,44,A2
1.97,1.63,42,34,51,C2
3.27,2.56,29,37,51,D3
-0.61,1.63,24,34,51,A2
-0.61,2.56,30,32,56,A3
3.27,2.56,30,40,45,D3
0.65,1.63,28,41,48,B2
3.27,2.56,33,46,29,D3
0.65,1.63,30,33,59,B2
-0.61,0.78,39,42,31,A1
3.27,2.56,45,32,33,D3
1.97,0.78,36,50,37,C1
-0.61,1.63,23,40,49,A2
0.65,2.56,26,31,48,B3
0.65,2.56,31,38,50,B3
3.27,0.78,22,48,53,D1
-0.61,1.63,22,44,54,A2
3.27,1.63,40,31,52,D2
-0.61,3.42,45,36,50,A4
3.27,2.56,49,36,51,D3
0.65,0.78,42,48,50,B1
0.65,0.78,33,42,31,B1
1.97,0.78,33,33,48,C1
3.27,2.56,35,48,36,D3
-0.61,0.78,31,37,44,A1
-0.61,2.56,35,40,46,A3
-0.61,0.78,46,39,54,A1
-0.61,2.56,35,33,41,A3
0.65,2.56,35,35,46,B3
-0.61,0.78,31,37,53,A1
3.27,0.78,35,37,46,D1
3.27,1.63,38,36,50,D2
0.65,3.42,46,36,50,B4
3.27,0.78,46,31,51,D1
3.27,0.78,27,55,46,D1
3.27,2.56,28,49,54,D3
3.27,3.42,40,31,56,D4
3.27,0.78,43,30,34,D1
-0.61,3.42,24,39,59,A4
3.27,0.78,45,48,52,D1
1.97,1.63,41,39,54,C2
0.65,0.78,31,39,52,B1
3.27,3.42,36,32,52,D4
0.65,3.42,48,32,59,B4
-0.61,0.78,49,43,53,A1
0.65,2.56,42,38,45,B3
1.97,1.63,31,39,42,C2
0.65,3.42,26,37,56,B4
1.97,2.56,27,33,49,C3
3.27,3.42,30,31,58,D4
1.97,2.56,41,32,52,C3
1.97,2.56,40,48,40,C3
0.65,1.63,29,32,42,B2
3.27,2.56,44,33,58,D3
3.27,0.78,45,56,53,D1
3.27,1.63,34,41,37,D2
3.27,2.56,41,31,46,D3
-0.61,1.63,32,34,46,A2
0.65,2.56,38,39,55,B3
3.27,2.56,40,35,56,D3
0.65,1.63,32,39,39,B2
3.27,2.56,29,36,59,D3
3.27,3.42,38,37,40,D4
-0.61,2.56,29,44,34,A3
-0.61,0.78,30,67,33,A1
1.97,3.42,48,32,33,C4
1.97,0.78,31,36,51,C1
-0.61,3.42,48,37,50,A4
3.27,2.56,42,36,40,D3
3.27,1.63,43,41,43,D2
1.97,1.63,43,33,43,C2
1.97,0.78,53,30,55,C1
3.27,3.42,46,32,53,D4
3.27,0.78,41,43,34,D1
1.97,1.63,39,40,35,C2
1.97,2.56,27,40,55,C3
0.65,1.63,32,44,33,B2
1.97,0.78,28,37,36,C1
0.65,0.78,25,40,33,B1
1.97,1.63,45,37,37,C2
3.27,3.42,28,35,43,D4
1.97,2.56,24,45,60,C3
3.27,0.78,28,41,55,D1
-0.61,1.63,31,45,53,A2
1.97,2.56,29,33,45,C3
3.27,0.78,41,34,56,D1
3.27,0.78,22,32,57,D1
3.27,1.63,35,38,33,D2
0.65,0.78,43,36,57,B1
-0.61,0.78,36,37,40,A1
-0.61,2.56,22,41,28,A3
1.97,1.63,36,40,34,C2
0.65,2.56,42,35,40,B3
3.27,3.42,31,32,47,D4
0.65,2.56,32,38,44,B3
1.97,2.56,35,36,43,C3
0.65,2.56,42,34,54,B3
3.27,1.63,28,32,49,D2
-0.61,1.63,35,36,40,A2
-0.61,3.42,31,35,48,A4
0.65,1.63,39,36,47,B2
-0.61,3.42,42,35,32,A4
3.27,2.56,52,45,36,D3
0.65,1.63,40,31,42,B2
3.27,3.42,47,49,53,D4
3.27,3.42,30,66,39,D4
0.65,1.63,32,44,51,B2
1.97,0.78,33,31,56,C1
3.27,3.42,35,41,60,D4
0.65,1.63,32,50,51,B2
3.27,3.42,38,40,51,D4
-0.61,2.56,31,30,52,A3
3.27,2.56,26,36,34,D3
1.97,2.56,54,43,59,C3
3.27,1.63,34,44,57,D2
1.97,1.63,40,32,27,C2
0.65,2.56,30,42,50,B3
1.97,3.42,32,41,44,C4
3.27,1.63,27,62,58,D2
1.97,3.42,34,42,27,C4
-0.61,0.78,31,44,55,A1
0.65,3.42,26,34,49,B4
1.97,2.56,27,36,39,C3
3.27,0.78,36,32,47,D1
1.97,3.42,32,31,47,C4
3.27,3.42,36,38,49,D4
1.97,2.56,27,57,55,C3
1.97,2.56,40,42,50,C3
0.65,1.63,35,47,57,B2
-0.61,3.42,31,46,47,A4
1.97,1.63,26,39,32,C2
-0.61,2.56,49,33,44,A3
0.65,3.42,42,37,37,B4
1.97,2.56,43,41,51,C3
0.65,0.78,28,34,50,B1
0.65,1.63,37,36,40,B2
3.27,1.63,38,33,54,D2
3.27,3.42,42,33,51,D4
-0.61,1.63,48,36,55,A2
0.65,0.78,40,33,42,B1
0.65,2.56,46,36,52,B3
3.27,0.78,25,42,50,D1
1.97,3.42,33,31,56,C4
3.27,3.42,24,36,55,D4
-0.61,0.78,50,41,38,A1
-0.61,2.56,40,34,52,A3
-0.61,1.63,31,31,43,A2
1.97,0.78,33,32,57,C1
0.65,0.78,39,40,58,B1
-0.61,2.56,39,36,40,A3
3.27,3.42,29,50,45,D4
3.27,2.56,40,39,41,D3
0.65,2.56,49,35,51,B3
-0.61,0.78,47,36,34,A1
-0.61,2.56,32,43,56,A3
0.65,1.63,46,40,50,B2
-0.61,0.78,44,31,53,A1
-0.61,1.63,35,47,32,A2
0.65,3.42,38,35,37,B4
-0.61,3.42,24,42,54,A4
0.65,1.63,26,42,45,B2
-0.61,3.42,33,35,40,A4
3.27,2.56,38,45,57,D3
1.97,0.78,48,33,52,C1
